"EventType","IPAddress","LogonType","TimeStamp","ProcessName","TargetAccount","CallingComputer"
"FailedLogin","-","Network","12/20/2024 4:45:54 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest5","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:45:53 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest5","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:45:52 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest4","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:45:51 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest4","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:45:50 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest3","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:45:49 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest3","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:45:48 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest2","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:45:47 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest2","AR-WIN-DC"
"FailedLogin","-","Network","12/20/2024 4:45:45 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest1","AR-WIN-DC"
"FailedLogin","-","Interactive","12/20/2024 4:45:44 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","THTest1","AR-WIN-DC"
